id,house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
1,"2 BHK Flat for Rent in Oberoi Woods, Goregaon East, Mumbai",Goregaon East,Mumbai,897,2,2,0,Semi-Furnished,134,120000
2,"1 BHK Flat for Rent in Sapphire Lakeside, Powai, Mumbai",Powai,Mumbai,490,1,1,0,Semi-Furnished,82,40000
3,1 BHK House for Rent in Mundhwa Pune,Mundhwa,Pune,550,1,1,0,Unfurnished,22,12000
4,"2 BHK Flat for Rent in Hingna, Nagpur",Hingna,Nagpur,1000,2,2,0,Unfurnished,8,8000
5,"1 BHK Flat for Rent in Unique Star Harsh Vihar, Mira Road Area, Mumbai",Mira Road,Mumbai,595,1,1,0,Unfurnished,25,15000
6,1 BHK House for Rent in Jakkur Bangalore,Jakkur,Bangalore,600,1,1,0,Unfurnished,27,16000
7,"3 BHK Flat for Rent in Chittaranjan Park, New Delhi",Chittaranjan Park,New Delhi,1260,3,3,2,Unfurnished,47.66666666666666,60000
8,"3 BHK Flat for Rent in Soami Nagar South, Soami Nagar, New Delhi",Soami Nagar South,New Delhi,2700,3,3,2,Semi-Furnished,74.11111111111111,200000
9,1 BHK House for Rent in Hadapsar Pune,Hadapsar,Pune,650,1,1,0,Unfurnished,17,11000
10,"1 BHK Flat for Rent in Riverdale Suites, Kharadi, Pune",Kharadi,Pune,495,1,1,0,Unfurnished,48,24000
11,4 BHK House for Rent in Indiranagar Bangalore,Indira Nagar,Bangalore,2000,4,3,0,Semi-Furnished,40,80000
12,"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1543,3,3,0,Unfurnished,39,60000
13,"1 BHK Flat for Rent in Hiranandani Gardens, Powai, Mumbai",Powai,Mumbai,380,1,2,0,Furnished,184,70000
14,"3 BHK Flat for Rent in Rustomjee Seasons, Bandra East, Mumbai",Bandra East,Mumbai,1281,3,3,0,Semi-Furnished,222,290000
15,"4 BHK Flat for Rent in Bandra East, Mumbai",Bandra East,Mumbai,2200,4,4,3,Unfurnished,159,350000
16,"4 BHK Flat for Rent in Oberoi Prisma, Jogeshwari Vikhroli Link Road, Mumbai",Jogeshwari Vikhroli Link Road,Mumbai,2600,4,5,0,Semi-Furnished,92,240000
17,"2 BHK Flat for Rent in Godrej Elements, Hinjawadi, Pune",Hinjewadi,Pune,862,2,2,2,Semi-Furnished,35,30000
18,"3 BHK Flat for Rent in Jyoti Nagar East, New Delhi",Jyoti Nagar East,New Delhi,1080,3,2,0,Semi-Furnished,23,25000
19,"1 BHK Flat for Rent in Madanpur Khadar Village, New Delhi",Madanpur Khadar Village,New Delhi,700,1,1,0,Semi-Furnished,19,13000
20,"3 BHK Flat for Rent in CV Raman Nagar, Bangalore",C V Raman Nagar,Bangalore,1900,3,3,3,Semi-Furnished,37,70000
21,"2 BHK Flat for Rent in Blossom N Springs, Baner, Pune",Baner,Pune,1000,2,2,2,Semi-Furnished,35,35000
22,"3 BHK Flat for Rent in Dudulgaon, Alandi, Pune",Dudulgaon,Pune,819,3,2,2,Unfurnished,24,20000
23,"1 BHK Flat for Rent in Mohan Nagar, Nagpur",Mohan Nagar,Nagpur,400,1,1,0,Unfurnished,25,10000
24,"4 BHK Flat for Rent in Eon Waterfront, Kharadi, Pune",Kharadi,Pune,2500,4,6,3,Semi-Furnished,37,92000
25,"2 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bangalore,1200,2,2,2,Semi-Furnished,16,19000
26,"2 BHK Flat for Rent in Anirudha Residency, Manewada, Nagpur",Manewada,Nagpur,990,2,2,2,Semi-Furnished,11,11000
27,"1 BHK Flat for Rent in Wadala West, Mumbai",Wadala West,Mumbai,400,1,2,0,Semi-Furnished,100,40000
28,"2 BHK Flat for Rent in Gini Belvista Phase II, Dhanori Road, Pune",Dhanori Road,Pune,750,2,2,2,Semi-Furnished,35,26500
29,2 BHK House for Rent in Medahalli Bangalore,MedaHalli,Bangalore,300,2,2,0,Semi-Furnished,83,25000
30,1 BHK House for Rent in Harsha Layout Kengeri Satellite Town Bangalore,Harsha Layout,Bangalore,850,1,1,0,Semi-Furnished,11,9000
31,"3 BHK Flat for Rent in Megapolis Sangria Towers, Hinjawadi, Pune",Hinjewadi,Pune,1500,3,3,0,Unfurnished,20,30000
32,"4 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",Frazer Town,Bangalore,2350,4,3,0,Furnished,38,90000
33,"2 BHK Flat for Rent in Loni Kalbhor, Pune",Loni Kalbhor,Pune,1200,2,2,0,Unfurnished,10,12000
34,"1 BHK Flat for Rent in Kirkatwadi, Pune",Kirkatwadi,Pune,480,1,1,0,Unfurnished,15,7000
35,"2 BHK Flat for Rent in Budigere, Bangalore",Budigere,Bangalore,1153,2,2,2,Semi-Furnished,29,34000
36,"2 BHK Flat for Rent in Chattarpur, New Delhi",Chhattarpur,New Delhi,900,2,2,2,Semi-Furnished,23,21000
37,"2 BHK Flat for Rent in Om Trimurti, Dindoshi, Mumbai",Dindoshi - Malad East,Mumbai,950,2,2,0,Semi-Furnished,68,65000
38,5 BHK House for Rent in Raj nagar Nagpur,Raj nagar,Nagpur,3000,5,4,4,Semi-Furnished,8,25000
39,"2 BHK Flat for Rent in Surabhi Enclave, Aundh, Pune",Aundh,Pune,980,2,2,0,Unfurnished,30,29000
40,"3 BHK Flat for Rent in Wadi, Nagpur",Wadi,Nagpur,950,3,2,3,Semi-Furnished,9,9000
41,"3 BHK Flat for Rent in Ram Das Peth, Nagpur",Ram Das Peth,Nagpur,1300,3,3,3,Furnished,27,35000
42,"2 BHK Flat for Rent in Kasavanahalli, Bangalore",Kasavanahalli,Bangalore,1500,2,2,0,Semi-Furnished,27,40000
43,"3 BHK Flat for Rent in ShriRam Heights, Adarsh Nagar, Nagpur",Adarsh Nagar,Nagpur,1000,3,3,2,Semi-Furnished,25,25000
44,"2 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1180,2,2,2,Semi-Furnished,32,38000
45,"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,3000,3,3,2,Furnished,57,170000
46,"2 BHK Flat for Rent in Bandra West, Mumbai",Bandra West,Mumbai,950,2,2,0,Furnished,142,140000
47,2 BHK House for Rent in Mahipalpur New Delhi,Mahipalpur,New Delhi,630,2,1,0,Unfurnished,13,8000
48,"5 BHK Villa for Rent in Gera Isle Royale, Bavdhan Pune",Bavdhan,Pune,3186,5,5,0,Semi-Furnished,44,140000
